DBHID,PlotName,PlotID,Family,Genus,SpeciesName,Mnemonic,Subspecies,SpeciesID,SubspeciesID,QuadratName,QuadratID,PX,PY,QX,QY,TreeID,Tag,StemID,StemNumber,StemTag,PrimaryStem,CensusID,PlotCensusNumber,DBH,HOM,ExactDate,Date,ListOfTSM,HighHOM,LargeStem,Status
467093,luquillo,1,Elaeocarpaceae,Sloanea,berteroana,SLOBER,NA,198,NA,621,326,115.43,419.21,15.43,19.21,2035,102305,2492,0,102305,NA,5,5,75,1.3,2012-01-30,19022,MAIN;A,1,NA,alive
467072,luquillo,1,Rubiaceae,Psychotria,brachiata,PSYBRA,NA,185,NA,621,326,103.98,419.91,3.98,19.91,1929,102176,2345,0,102176,NA,5,5,NA,NA,2012-01-30,19022,MAIN;A;LS;B,1,NA,broken below
410967,luquillo,1,Piperaceae,Piper,glabrescens,PIPGLA,NA,174,NA,721,327,138.78,405.27,18.78,5.27,108716,154956,143452,0,154958,NA,4,4,NA,NA,2006-11-22,17127,SPROUT;LS,1,NA,stem dead
411714,luquillo,1,Rubiaceae,Psychotria,brachiata,PSYBRA,NA,185,NA,622,342,107.41,425.37,7.41,5.37,109392,156118,144200,0,156121,NA,4,4,NA,NA,2006-11-17,17122,SPROUT;LS,1,NA,stem dead
611492,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NA,70,NA,721,327,131.91,404.01,11.91,4.01,108670,154891,143397,0,154891,NA,6,6,105,1.3,2016-07-28,20663,MAIN;A,1,NA,alive
611391,luquillo,1,Fabaceae-mimosoideae,Inga,laurina,INGLAU,NA,128,NA,721,327,122.34,404.02,2.34,4.02,124964,175173,163160,0,175173,NA,6,6,20.6,1.33,2016-07-27,20662,MAIN;A,1,NA,alive
611588,luquillo,1,Burseraceae,Tetragastris,balsamifera,TETBAL,NA,207,NA,722,343,122.93,430.16,2.93,10.16,109453,156247,144265,0,156247,NA,6,6,28.4,1.3,2016-08-15,20681,MAIN;A,1,NA,alive
611662,luquillo,1,Moraceae,Ficus,spp,FICSPP,NA,112,NA,722,343,135.73,425.56,15.73,5.56,26724,17595,33788,0,17595,NA,6,6,541,2.8,2016-08-16,20682,MAIN;A,1,NA,alive
410594,luquillo,1,Piperaceae,Piper,hispidum,PIPHIS,NA,175,NA,621,326,114.58,410.28,14.58,10.28,108411,154536,143079,0,154536,NA,4,4,NA,NA,2006-11-17,17122,MAIN;DEADT,1,NA,dead
486875,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NA,70,NA,721,327,126.73,400.45,6.73,0.45,108623,154834,161187,0,175190,NA,5,5,12.7,1.3,2012-01-31,19023,SPROUT;A,1,NA,alive
410798,luquillo,1,Rubiaceae,Psychotria,brachiata,PSYBRA,NA,185,NA,721,327,122.41,413.04,2.41,13.04,108568,154757,143283,0,154757,NA,4,4,NA,NA,2006-11-20,17125,MAIN;DEADT,1,NA,dead
410827,luquillo,1,Rubiaceae,Psychotria,berteroana,PSYBER,NA,184,NA,721,327,129.09,419.84,9.09,19.84,108595,154791,143312,0,154791,NA,4,4,NA,NA,2006-11-20,17125,MAIN;DEADT,1,NA,dead
608717,luquillo,1,Araliaceae,Schefflera,morototoni,SCHMOR,NA,196,NA,621,326,109,404.05,9,4.05,108371,154476,143034,0,154476,NA,6,6,NA,NA,2016-07-27,20662,MAIN;DEADT,1,NA,dead
385115,luquillo,1,Rubiaceae,Psychotria,brachiata,PSYBRA,NA,185,NA,621,326,102.46,410.11,2.46,10.11,1849,102089,114447,0,154400,NA,4,4,NA,NA,2006-11-16,17121,SPROUT;LS,1,NA,stem dead
608948,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NA,70,NA,622,342,116.87,434.53,16.87,14.53,109433,156213,144242,0,156213,NA,6,6,NA,NA,2016-08-15,20681,MAIN;DEADT,1,NA,dead
425448,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NA,70,NA,722,343,137.29,429.75,17.29,9.75,122391,172679,159594,0,172679,NA,4,4,10.5,1.3,2006-11-21,17126,MAIN;A,1,NA,alive
486680,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NA,70,NA,622,342,111.5,436.13,11.5,16.13,8614,110151,160992,0,175315,NA,5,5,19.4,1.3,2012-01-31,19023,SPROUT;A,1,NA,alive
608956,luquillo,1,Urticaceae,Cecropia,schreberiana,CECSCH,NA,74,NA,622,342,117.36,436.37,17.36,16.37,8428,109915,10518,0,109915,NA,6,6,NA,NA,2016-08-15,20681,MAIN;DEADT,1,NA,dead
